,Acelga ,,,,,,,,1240,1,paquete,https://www.buencampo.cl/
,Ají Cristal ,,,,,,,,250,1,Unidades,https://www.buencampo.cl/
,Ajo Chileno ,,,,,,,,390,1,1 cabeza,https://www.buencampo.cl/
,Albahaca ,,,,,,,,840,1,paquete,https://www.buencampo.cl/
,Berenjena ,,,,,,,,490,1,Unidades,https://www.buencampo.cl/
,Betarraga ,,,,,,,,1240,5,Unidades,https://www.buencampo.cl/
,Cebolla Nueva ,,,,,,,,390,1,Unidades,https://www.buencampo.cl/
,Cilantro ,,,,,,,,790,1,atado,https://www.buencampo.cl/
,Frutillas ,,,,,,,,2340,500,Gramos,https://www.buencampo.cl/
,Higos Blancos ,,,,,,,,2640,8,Unidades,https://www.buencampo.cl/
,Kale Red Russian ,,,,,,,,840,1,1 paquete,https://www.buencampo.cl/
,Kale Rizado ,,,,,,,,840,1,1 paquete,https://www.buencampo.cl/
,Kale Toscano ,,,,,,,,840,1,1 paquete,https://www.buencampo.cl/
,Lechuga Marina ,,,,,,,,790,1,Unidades,https://www.buencampo.cl/
,Lechuga Morada ,,,,,,,,790,1,Unidades,https://www.buencampo.cl/
,Limón ,,,,,,,,1890,1000,Gramos,https://www.buencampo.cl/
,Melón Tuna ,,,,,,,,1640,1,Unidades,https://www.buencampo.cl/
,Membrillo ,,,,,,,,250,1,Unidades,https://www.buencampo.cl/
,Naranja Jugo ,,,,,,,,1690,5000,Gramos,https://www.buencampo.cl/
,Palta Hass Dura ,,,,,,,,3290,1000,Gramos,https://www.buencampo.cl/
,Papa De Guarda ,,,,,,,,1240,1000,Gramos,https://www.buencampo.cl/
,Pepino Ensalada ,,,,,,,,390,1,Unidades,https://www.buencampo.cl/
,Pimentón Verde ,,,,,,,,490,1,Unidades,https://www.buencampo.cl/
,Pomelo ,,,,,,,,1640,1000,Gramos,https://www.buencampo.cl/
,Rabanito ,,,,,,,,840,1,atado,https://www.buencampo.cl/
,Rúcula ,,,,,,,,840,100,Gramos,https://www.buencampo.cl/
,Tomate Cherry ,,,,,,,,1890,250,Gramos,https://www.buencampo.cl/
,Tomate De Temporada ,,,,,,,,1290,1000,Gramos,https://www.buencampo.cl/
,Zanahoria ,,,,,,,,1420,1,paquete,https://www.buencampo.cl/
,Zapallo Camote ,,,,,,,,840,1,1 trozo,https://www.buencampo.cl/
,Zapallo Italiano ,,,,,,,,390,1,Unidades,https://www.buencampo.cl/
