,Pepino Ensalada,,,,,,,, 449,,,www.tottus.cl
,Apio Mata,,,,,,,, 1.090,,,www.tottus.cl
,Pepino Fruta,,,,,,,, 1.990,,,www.tottus.cl
,Ensalada de Apio,,,,,,,, 1.890,,,www.tottus.cl
,Zanahorias,,,,,,,, 719,,,www.tottus.cl
,Cebolla,,,,,,,, 949,,,www.tottus.cl
,Cebolla Nueva,,,,,,,, 1.190,,,www.tottus.cl
,Ensalada de Zanahoria,,,,,,,, 1.390,,,www.tottus.cl
,Cebolla Escabechera,,,,,,,, 1.990,,,www.tottus.cl
,Cebolla Morada,,,,,,,, 1.789,,,www.tottus.cl
,Asian Salado Mix,,,,,,,, 1.790,,,www.tottus.cl
,Brocoli,,,,,,,, 990,,,www.tottus.cl
,Ajo,,,,,,,, 499,,,www.tottus.cl
,Acel,,,,,,,, 749,,,www.tottus.cl
,Berenjena,,,,,,,, 690,,,www.tottus.cl
,Betarra Tubular,,,,,,,, 1.090,,,www.tottus.cl
,Albahaca,,,,,,,, 1.190,,,www.tottus.cl
,Cilantro,,,,,,,, 569,,,www.tottus.cl
,Rucula,,,,,,,, 1.390,,,www.tottus.cl
,Diente de Dran,,,,,,,, 829,,,www.tottus.cl
,Perejil,,,,,,,, 499,,,www.tottus.cl
,Cebollín,,,,,,,, 579,,,www.tottus.cl
,Berros,,,,,,,, 1.390,,,www.tottus.cl
,Jenbre,,,,,,,, 1.290,,,www.tottus.cl
,Repollo Crespo,,,,,,,, 1.090,,,www.tottus.cl
,Ajos Seleccionados,,,,,,,, 899,,,www.tottus.cl
,Ensalada de Zanahoria,,,,,,,, 1.390,,,www.tottus.cl
,Zapallo Cubito,,,,,,,, 1.990,,,www.tottus.cl
,Ensalada Escarola Familiar,,,,,,,, 1.990,,,www.tottus.cl
,Repollo Morado Picado,,,,,,,, 1.390,,,www.tottus.cl
,Ensalada Cuatro Estaciones,,,,,,,, 1.790,,,www.tottus.cl
,Lechu Escarola Picada,,,,,,,, 1.390,,,www.tottus.cl
,Chapsui Thai,,,,,,,, 1.790,,,www.tottus.cl
,Espinaca Ornica,,,,,,,, 1.490,,,www.tottus.cl
,Ensalada de Zanahoria Pellet,,,,,,,, 2.990,,,www.tottus.cl
,Repollo Blanco Picado,,,,,,,, 1.390,,,www.tottus.cl
,Ensalada de Repollo Blanco,,,,,,,, 2.090,,,www.tottus.cl
,Ensalada de Apio,,,,,,,, 1.890,,,www.tottus.cl
,Chapsui col,,,,,,,, 1.890,,,www.tottus.cl
,Ensalada Napolitana Fresca,,,,,,,, 1.290,,,www.tottus.cl
,Ensalada Italiana,,,,,,,, 2.090,,,www.tottus.cl
,Limón,,,,,,,, 1.990,,,www.tottus.cl
,Nectarin,,,,,,,, 1.389,,,www.tottus.cl
,Limón,,,,,,,, 2.189,,,www.tottus.cl
,Pomelo Rosado,,,,,,,, 990,,,www.tottus.cl
,Naranja,,,,,,,, 2.590,,,www.tottus.cl
,Limón Sutil Peruano,,,,,,,, 2.790,,,www.tottus.cl
,Zapallo Italiano,,,,,,,, 449,,,www.tottus.cl
,Zapallo Cubito,,,,,,,, 1.990,,,www.tottus.cl
,Zapatallo Trozo,,,,,,,, 1.590,,,www.tottus.cl
,Zapallo Picado,,,,,,,, 1.990,,,www.tottus.cl
,Lechu Escarola,,,,,,,, 690,,,www.tottus.cl
,Lechu Costina,,,,,,,, 689,,,www.tottus.cl
,Lechu Española,,,,,,,, 529,,,www.tottus.cl
,Lechu Escarola,,,,,,,, 1.390,,,www.tottus.cl
,Rucula,,,,,,,, 1.390,,,www.tottus.cl
,Lechu Milanesa,,,,,,,, 599,,,www.tottus.cl
,Repollo Crespo,,,,,,,, 1.090,,,www.tottus.cl
,Lechu Summertime,,,,,,,, 499,,,www.tottus.cl
,Repollo Morado,,,,,,,, 1.190,,,www.tottus.cl
,Corazón de Lechu Costina,,,,,,,, 3.490,,,www.tottus.cl
,Lechu Salanova Roja,,,,,,,, 1.090,,,www.tottus.cl
,Hojas Roble Verde,,,,,,,, 1.290,,,www.tottus.cl
,Hojas Lollo,,,,,,,, 1.290,,,www.tottus.cl
,Palta Hass,,,,,,,, 1.990,,,www.tottus.cl
,Platano,,,,,,,, 789,,,www.tottus.cl
,Palta Hass,,,,,,,, 2.890,,,www.tottus.cl
,Plátanos Barranetes,,,,,,,, 990,,,www.tottus.cl
,Tomate Lar Vida,,,,,,,, 1.089,,,www.tottus.cl
,Papas,,,,,,,, 1.109,,,www.tottus.cl
,Tomate Lar Vida,,,,,,,, 989,,,www.tottus.cl
,Papas,,,,,,,, 2.189,,,www.tottus.cl
,Tomate Racimo Hidropónico,,,,,,,, 1.890,,,www.tottus.cl
,Tomate Cocktail,,,,,,,, 1.990,,,www.tottus.cl
,Papa Hinojo,,,,,,,, 9.999,,,www.tottus.cl
,Papa Malla,,,,,,,, 1.089,,,www.tottus.cl
,Durazno Conservero,,,,,,,, 1.390,,,www.tottus.cl
,Durazno,,,,,,,, 1.790,,,www.tottus.cl
,Tuna,,,,,,,, 1.590,,,www.tottus.cl
,Pepino Fruta,,,,,,,, 1.990,,,www.tottus.cl
,Melón Calameño,,,,,,,, 1.190,,,www.tottus.cl
,Papaya,,,,,,,, 2.590,,,www.tottus.cl
,Sandía,,,,,,,, 2.890,,,www.tottus.cl
,Ciruelas,,,,,,,, 1.389,,,www.tottus.cl
